userId,Total_Accepted_Answers,score,posts,Reputation,Age,UpVotes,DownVotes,Location,views
25096,0,0,1,1,,0,0,,2
25287,0,0,1,9,27,0,0,"Konso, Ethiopia",9
25296,0,2,1,19,,0,0,,1
25487,0,-2,1,6,,0,0,,1
25598,0,1,1,36,,1,0,,16
25657,1,1,1,142,,9,2,,7
25925,0,4,2,36,,0,0,,7
25930,1,8,2,43,,4,0,,7
26130,4,8,5,284,,109,0,,73
26466,0,0,1,115,,7,0,,10
26968,0,1,1,6,,0,0,,2
27436,0,3,1,16,,0,0,,1
27763,0,3,2,44,,0,0,,24
27861,2,8,2,488,,5,0,,62
28529,1,2,3,77,,5,0,,12
28699,0,3,1,16,,0,0,,1
28729,1,0,1,238,,16,0,,21
28997,0,3,1,16,,0,0,,4
29065,0,4,3,161,,1,0,,8
29231,1,6,1,33,,1,0,,9
29367,2,5,2,132,,13,0,,10
29567,0,5,1,26,,1,0,,3
29640,2,12,3,398,31,11,1,,22
29908,0,0,1,1,,0,0,,2
30367,1,0,1,3,,0,0,,5
30537,0,0,1,1,,0,0,,2
30546,1,-1,1,31,,0,0,,3
30571,0,0,1,13,,0,0,,4
31014,1,1,1,188,,2,0,,7
31673,0,0,1,1,,0,0,,1
31907,0,0,2,26,,0,0,,3
32005,1,9,1,94,28,11,0,"New Delhi, India",14
32273,0,0,1,9,,0,0,,18
32516,0,0,1,1,,0,0,Lithuania,6
35115,0,1,1,126,,13,0,"Helsinki, Finland",1
35256,1,1,1,8,,0,0,,2
35549,0,5,1,26,,0,0,,2
35660,2,3,3,212,,7,1,,66
36158,1,0,2,198,,11,0,"Berlin, Germany",17
36285,1,2,1,113,27,1,0,Mexico,4
36787,0,3,1,41,,3,0,,2
38098,0,1,1,26,,0,0,,3
39702,0,3,1,116,,0,0,,9
40863,1,1,1,23,,0,0,,1
41072,0,2,1,46,,0,0,,4
41165,2,5,3,155,,3,0,Finland,9
41174,0,2,1,11,,0,0,,0
41199,1,4,1,23,,1,0,"Halifax, Canada",2
41272,0,1,1,21,,2,0,,3
41501,0,4,1,26,,0,0,,1
42008,0,4,1,21,,0,0,,1
42174,1,3,1,63,,2,0,,6
42778,1,3,1,18,,0,0,,5
42910,1,2,1,38,,0,0,,8
43280,0,3,1,16,,0,0,,5
43578,1,2,2,113,,2,0,,7
43612,0,0,1,1,,0,0,,1
43782,0,0,1,218,,0,0,,5
43837,0,4,1,21,,0,0,,1
44305,0,2,1,11,,0,0,,0
44339,1,3,2,702,,188,3,,573
44650,2,6,2,85,31,3,0,Wisconsin,3
44807,0,7,2,41,32,0,0,New Zealand,14
44952,2,1,2,1796,,388,5,Canada,373
45518,1,9,1,198,33,32,0,Vermont,8
45577,1,2,1,13,,0,0,,4
46020,0,4,1,21,,0,0,,2
46147,0,0,1,1,,0,0,,1
46152,0,1,2,21,,0,0,,3
46522,2,6,2,531,,55,1,,57
46645,1,2,1,18,,1,0,,2
48024,1,3,1,65,,2,0,,12
48228,0,0,1,101,,0,0,,0
48360,1,0,1,55,24,2,0,"Paris, France",6
48453,1,0,1,260,,16,0,UK,27
48721,1,2,1,113,,2,0,Germany,2
48785,1,6,1,103,,6,0,,24
49121,0,1,1,6,,0,0,,3
49394,0,0,1,101,,0,0,,7
49730,0,3,1,26,,0,0,,0
51861,1,0,1,15,,0,0,,7
51993,1,0,1,113,31,1,0,"Melbourne, Australia",9
52070,0,0,1,94,30,5,0,London,38
52202,0,1,1,106,,1,0,,0
52397,0,1,1,6,,0,0,,0
